time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315964861,478000,0,0,0,0,1,2,2,13,0,1980-01-06T03:01:01,1601678157.139621,2020-10-03T01:35:57
315964873,86000,0,0,0,0,1,2,78,13,0,1980-01-06T03:01:13,1601678170.765645,2020-10-03T01:36:10
315964888,86000,0,0,0,0,1,2,160,13,0,1980-01-06T03:01:28,1601678185.1022449,2020-10-03T01:36:25
315964902,695000,0,0,0,0,1,2,234,13,0,1980-01-06T03:01:42,1601678199.2820199,2020-10-03T01:36:39
315964914,695000,0,0,0,0,1,2,56,13,0,1980-01-06T03:01:54,1601678213.0937,2020-10-03T01:36:53
315964929,305000,0,0,0,0,1,2,137,13,0,1980-01-06T03:02:09,1601678227.758904,2020-10-03T01:37:07
315964944,305000,0,0,0,0,1,2,214,13,0,1980-01-06T03:02:24,1601678241.979924,2020-10-03T01:37:21
315964961,914000,0,0,0,0,1,2,49,13,0,1980-01-06T03:02:41,1601678259.6244678,2020-10-03T01:37:39
315964979,914000,0,0,0,0,1,2,138,13,0,1980-01-06T03:02:59,1601678276.826757,2020-10-03T01:37:56
1601804347,752000,0,0,0,0,1,2,229,13,0,2020-10-04T12:39:07,1601678294.6438289,2020-10-03T01:38:14
1601804362,752000,0,0,0,0,1,2,60,13,0,2020-10-04T12:39:22,1601678312.6889238,2020-10-03T01:38:32
1601804380,836000,0,0,0,0,1,2,141,13,0,2020-10-04T12:39:40,1601678327.6696239,2020-10-03T01:38:47
1601804395,836000,0,0,0,0,1,2,232,13,0,2020-10-04T12:39:55,1601678344.6985998,2020-10-03T01:39:04
1601804413,895000,0,0,0,0,1,2,69,13,0,2020-10-04T12:40:13,1601678363.209569,2020-10-03T01:39:23
1601804431,993000,0,0,0,0,1,2,151,13,0,2020-10-04T12:40:31,1601678380.663617,2020-10-03T01:39:40
1601804446,993000,0,0,0,0,1,2,237,13,0,2020-10-04T12:40:46,1601678398.036648,2020-10-03T01:39:58
1601804464,894000,0,0,0,0,1,2,57,13,0,2020-10-04T12:41:04,1601678413.925041,2020-10-03T01:40:13
1601804482,894000,0,0,0,0,1,2,137,13,0,2020-10-04T12:41:22,1601678432.57392,2020-10-03T01:40:32
