time_s,time_us,deg,seq,srcSystem,srcComponent,time_gregorian
1601805158,518500,4.853488922119141,147,13,0,2020-10-04T12:52:38
1601805159,518500,5.04088020324707,151,13,0,2020-10-04T12:52:39
1601805160,518500,5.228300094604492,156,13,0,2020-10-04T12:52:40
1601805161,518500,5.04088020324707,161,13,0,2020-10-04T12:52:41
1601805162,518500,5.603113174438477,165,13,0,2020-10-04T12:52:42
1601805163,518500,5.415721893310547,170,13,0,2020-10-04T12:52:43
1601805164,518500,5.228300094604492,175,13,0,2020-10-04T12:52:44
1601805165,518500,5.603113174438477,179,13,0,2020-10-04T12:52:45
1601805166,518500,4.853488922119141,184,13,0,2020-10-04T12:52:46
1601805167,518500,5.790533065795898,189,13,0,2020-10-04T12:52:47
1601805168,518500,5.415721893310547,193,13,0,2020-10-04T12:52:48
1601805169,518500,5.415721893310547,198,13,0,2020-10-04T12:52:49
1601805170,518500,5.790533065795898,203,13,0,2020-10-04T12:52:50
1601805171,518500,5.228300094604492,207,13,0,2020-10-04T12:52:51
1601805172,518500,5.04088020324707,212,13,0,2020-10-04T12:52:52
1601805173,518500,5.603113174438477,217,13,0,2020-10-04T12:52:53
