time_s,time_us,o2_conc,seq,srcSystem,srcComponent,time_gregorian
1601800253,884000,18.429431915283203,29,13,0,2020-10-04T11:30:53
1601800254,884000,18.780601501464844,34,13,0,2020-10-04T11:30:54
1601800255,884000,18.808692932128906,38,13,0,2020-10-04T11:30:55
1601800256,884000,18.808692932128906,43,13,0,2020-10-04T11:30:56
1601800257,884000,18.808692932128906,48,13,0,2020-10-04T11:30:57
1601800258,884000,18.429431915283203,52,13,0,2020-10-04T11:30:58
1601800259,884000,18.640132904052734,57,13,0,2020-10-04T11:30:59
1601800260,884000,18.8367862701416,62,13,0,2020-10-04T11:31:00
1601800261,884000,18.82274055480957,66,13,0,2020-10-04T11:31:01
1601800262,507000,18.401336669921875,71,13,0,2020-10-04T11:31:02
1601800263,507000,18.41538429260254,76,13,0,2020-10-04T11:31:03
1601800264,507000,18.499664306640625,80,13,0,2020-10-04T11:31:04
1601800265,507000,18.8367862701416,85,13,0,2020-10-04T11:31:05
1601800266,507000,18.8367862701416,90,13,0,2020-10-04T11:31:06
1601800267,507000,18.4434757232666,94,13,0,2020-10-04T11:31:07
1601800268,507000,18.61203956604004,99,13,0,2020-10-04T11:31:08
1601800269,507000,18.850833892822266,104,13,0,2020-10-04T11:31:09
1601800270,507000,18.850833892822266,108,13,0,2020-10-04T11:31:10
1601800271,507000,18.55585289001465,113,13,0,2020-10-04T11:31:11
1601800272,507000,18.31705665588379,118,13,0,2020-10-04T11:31:12
1601800273,507000,18.850833892822266,122,13,0,2020-10-04T11:31:13
1601800274,507000,18.850833892822266,127,13,0,2020-10-04T11:31:14
1601800275,507000,18.850833892822266,132,13,0,2020-10-04T11:31:15
1601800276,507000,18.28896141052246,136,13,0,2020-10-04T11:31:16
1601800277,507000,18.373241424560547,141,13,0,2020-10-04T11:31:17
1601800278,507000,18.850833892822266,146,13,0,2020-10-04T11:31:18
1601800279,507000,18.86488151550293,150,13,0,2020-10-04T11:31:19
1601800280,507000,18.401336669921875,155,13,0,2020-10-04T11:31:20
1601800281,507000,18.471569061279297,160,13,0,2020-10-04T11:31:21
1601800282,507000,18.87892723083496,164,13,0,2020-10-04T11:31:22
1601800283,507000,18.86488151550293,169,13,0,2020-10-04T11:31:23
1601800284,507000,18.56989860534668,174,13,0,2020-10-04T11:31:24
1601800285,507000,18.513710021972656,178,13,0,2020-10-04T11:31:25
1601800286,507000,18.87892723083496,183,13,0,2020-10-04T11:31:26
1601800287,507000,18.86488151550293,188,13,0,2020-10-04T11:31:27
1601800288,507000,18.87892723083496,192,13,0,2020-10-04T11:31:28
1601800289,507000,18.55585289001465,197,13,0,2020-10-04T11:31:29
1601800290,507000,18.48561668395996,202,13,0,2020-10-04T11:31:30
1601800291,507000,18.87892723083496,206,13,0,2020-10-04T11:31:31
1601800292,507000,18.892976760864258,211,13,0,2020-10-04T11:31:32
1601800293,131000,18.48561668395996,216,13,0,2020-10-04T11:31:33
1601800294,131000,18.4575252532959,220,13,0,2020-10-04T11:31:34
1601800295,131000,18.58394432067871,225,13,0,2020-10-04T11:31:35
1601800296,131000,18.892976760864258,230,13,0,2020-10-04T11:31:36
1601800297,131000,18.892976760864258,234,13,0,2020-10-04T11:31:37
1601800298,131000,18.401336669921875,239,13,0,2020-10-04T11:31:38
1601800299,131000,18.72441291809082,244,13,0,2020-10-04T11:31:39
1601800300,131000,18.907020568847656,248,13,0,2020-10-04T11:31:40
1601800301,131000,18.907020568847656,253,13,0,2020-10-04T11:31:41
1601800302,131000,18.58394432067871,2,13,0,2020-10-04T11:31:42
1601800303,131000,18.55585289001465,6,13,0,2020-10-04T11:31:43
1601800304,131000,18.907020568847656,11,13,0,2020-10-04T11:31:44
1601800305,131000,18.907020568847656,16,13,0,2020-10-04T11:31:45
1601800306,131000,18.907020568847656,20,13,0,2020-10-04T11:31:46
1601800307,131000,18.654176712036133,25,13,0,2020-10-04T11:31:47
1601800308,131000,18.640132904052734,30,13,0,2020-10-04T11:31:48
1601800309,131000,18.892976760864258,34,13,0,2020-10-04T11:31:49
1601800310,131000,18.907020568847656,39,13,0,2020-10-04T11:31:50
